iter	Logloss
0	0.6827710156
1	0.6745459027
2	0.6672920379
3	0.6620833449
4	0.6553029337
5	0.6468647394
6	0.6437220234
7	0.640084074
8	0.637224586
9	0.6331504884
10	0.6270176516
11	0.6208402362
12	0.6163770701
13	0.6110598784
14	0.6070783643
15	0.6063395299
16	0.6017560892
17	0.5998783908
18	0.5981175377
19	0.5962448182
20	0.593588508
21	0.5918851864
22	0.5890256173
23	0.5877636736
24	0.5864818283
25	0.5847621335
26	0.5826274488
27	0.579375366
28	0.5702401597
29	0.5630115699
30	0.5628775142
31	0.5610732794
32	0.5591641024
33	0.5558123775
34	0.5520856262
35	0.5509471765
36	0.5503062914
37	0.5494430824
38	0.5491880655
39	0.5446742443
40	0.5436259876
41	0.5390143897
42	0.5345225739
43	0.5324540449
44	0.5278829611
45	0.5274801726
46	0.5274735959
47	0.5272134937
48	0.5260415528
49	0.5253609563
50	0.5236385336
51	0.5223556024
52	0.5223508532
53	0.5209472658
54	0.5171854042
55	0.5166716706
56	0.5161066027
57	0.514686299
58	0.5137696426
59	0.5121582982
60	0.5096053366
61	0.5096018965
62	0.5071286282
63	0.5068521614
64	0.5062563885
65	0.5059841044
66	0.5040571449
67	0.5032047123
68	0.5019776727
69	0.5019614901
70	0.5003858605
71	0.5001332238
72	0.4982833569
73	0.4965922644
74	0.4958800358
75	0.4923068217
76	0.4914819247
77	0.4905770025
78	0.4901438208
79	0.4892872425
80	0.4891448197
81	0.4870247279
82	0.4854706764
83	0.4852319581
84	0.4850460295
85	0.4830755491
86	0.4828507601
87	0.4790655793
88	0.4750374138
89	0.4726096718
90	0.4703356795
91	0.4679463734
92	0.4653880756
93	0.4653672213
94	0.461335354
95	0.4613315692
96	0.4608840484
97	0.4602947821
98	0.4575038546
99	0.4560316255
100	0.4553017868
101	0.4544286939
102	0.4542476054
103	0.4535356339
104	0.4533029519
105	0.4523923783
106	0.4520874094
107	0.4518873179
108	0.4517836747
109	0.4511993451
110	0.4511980873
111	0.4489113918
112	0.4483733665
113	0.4474262953
114	0.4463678698
115	0.446215506
116	0.4460946567
117	0.446019695
118	0.4454383328
119	0.4445401864
120	0.4445391902
121	0.4442040011
