iter	Passed	Remaining
0	400	399727
1	563	281127
2	853	283788
3	1105	275180
4	1204	239620
5	1264	209417
6	1306	185359
7	1378	170992
8	1406	154905
9	1461	144698
10	1672	150402
11	1817	149664
12	1944	147669
13	2055	144736
14	2125	139560
15	2156	132630
16	2270	131307
17	2343	127833
18	2394	123624
19	2488	121919
20	2566	119665
21	2654	117995
22	2719	115507
23	2817	114573
24	2850	111186
25	2931	109809
26	3006	108361
27	3091	107303
28	3169	106130
29	3407	110176
30	3466	108341
31	3532	106862
32	3597	105432
33	3678	104519
34	3758	103623
35	3842	102884
36	3883	101076
37	3954	100115
38	3986	98222
39	4060	97461
40	4112	96183
41	4184	95448
42	4259	94788
43	4347	94457
44	4419	93781
45	4488	93089
46	4505	91354
47	4540	90053
48	4618	89639
49	4687	89070
50	4780	88963
51	4856	88530
52	4874	87091
53	4946	86664
54	5022	86289
55	5078	85602
56	5146	85146
57	5230	84943
58	5303	84586
59	5374	84199
60	5447	83862
61	5463	82659
62	5536	82338
63	5575	81545
64	5636	81080
65	5712	80835
66	5793	80672
67	5868	80439
68	5934	80068
69	5960	79191
70	6047	79128
71	6106	78699
72	6178	78460
73	6252	78237
74	6323	77987
75	6397	77778
76	6480	77683
77	6541	77322
78	6617	77147
79	6688	76923
80	6712	76161
81	6793	76056
82	6886	76088
83	6946	75746
84	6993	75278
85	7066	75105
86	7152	75056
87	7226	74893
88	7309	74823
89	7377	74592
90	7451	74435
91	7530	74319
92	7603	74156
93	7627	73516
94	7693	73292
95	7729	72787
96	7804	72649
97	7866	72407
98	7952	72377
99	8028	72256
100	8106	72152
101	8187	72078
102	8248	71835
103	8323	71711
104	8423	71797
105	8501	71703
106	8591	71704
107	8621	71208
108	8656	70758
109	8737	70694
110	8752	70096
111	8820	69935
112	8889	69782
113	8965	69681
114	9050	69651
115	9089	69271
116	9118	68814
117	9143	68340
118	9215	68224
119	9287	68107
120	9323	67728
121	9469	68151
